EXCELLENCY,001100110010110010
DOCTOR,001100010010110010
SOMEONE,001100100010110010
COURSE,001100000010110010
BAD,001100000100110010
HUNDRED,001100111000110010
APPEARED,001100011000110010
PLEASURE,001100101000110010
BECOME,001100001000110010
PRESENCE,001100110101100010
PEASANTS,001100001111000010
LOVED,001100110111000010
FINE,001100010111000010
FORMER,001100100111000010
HOLDING,001100000111000010
USUAL,001100111011000010
SAYS,001100011011000010
TRUE,001100110011000010
BLACK,001100100011000010
CLEAR,001100000011000010
MIKHAYLOVNA,001100111001000010
MOVING,001100011001000010
DAUGHTER,001100101001000010
KISSED,001100001001000010
HISTORIANS,001100100000000010
TOWN,001100000000000010
STRENGTH,001100111101101100
BED,001100011101101100
ATTENTION,001100101101101100
THINKING,001100001101101100
COAT,001100110101101100
SECOND,001100010101101100
AFFAIRS,001100111001101100
CARRIAGE,001100011001101100
PRISONERS,001100101001101100
NAME,001100001001101100
FRIGHTENED,001100110001101100
YOURSELF,001100010001101100
EVENTS,001100100000101100
ACROSS,001100000000101100
LINE,001100111111001100
OPENED,001100011111001100
GENERALS,001100101111001100
WAITING,001100001111001100
ONES,001100110111001100
EXPRESSED,001100010111001100
HIGH,001100111110001100
NATASHAS,001100101110001100
ALEXANDER,001100001110001100
MILITARY,001100111100001100
THOUGHTS,001100011100001100
PERHAPS,001100101000001100
SHORT,001100101100010100
MARYA,001100001100010100
PEACE,001100110100010100
BALL,001100010100010100
LIPS,001100110000010100
BOURIENNE,001100101011000100
